"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"shrink",163,7.160
,,"free",1573,7.070
,,"save",346,7.050
,,"deliver",216,6.980
,,"citizen",198,6.960
,,"rescue",250,6.960
,,"child",933,6.930
,,"escape",800,6.900
,,"protect",880,6.770
,,"preserve",97,6.740
,,"protection",619,6.690
,,"community",177,6.630
,,"family",327,6.630
,,"escape",369,6.550
,,"refuge",111,6.520
,,"immune",156,6.480
,,"world",218,6.340
,,"rescue",68,6.330
,,"shield",95,6.240
,,"kid",174,6.210
,,"other",155,6.160
,,"security",78,6.150
,,"society",77,6.100
,,"guard",51,6.060
,,"secure",67,6.050
,,"property",144,6.010
,,"environment",81,6.000
,,"consumer",69,5.980
,,"youth",86,5.970
,,"run",927,5.940
,,"worker",165,5.920
,,"shelter",71,5.890
,,"freedom",216,5.830
,,"humanity",56,5.830
,,"shy",118,5.820
,,"employee",98,5.780
,,"free",134,5.760
,,"Americans",60,5.730
,,"wearer",41,5.710
,,"country",139,5.700
,,"resident",72,5.640
,,"son",61,5.640
,,"retreat",74,5.600
,,"nation",55,5.540
,,"keep",100,5.530
,,"shelter",62,5.520
,,"hide",202,5.510
,,"pet",40,5.510
,,"animal",75,5.500
,,"person",125,5.480
,,"one",75,5.460
,,"baby",48,5.400
,,"daughter",49,5.400
,,"civilian",37,5.340
,,"health",43,5.340
,,"life",123,5.310
,,"haven",32,5.310
,,"human",42,5.290
,,"planet",42,5.240
,,"user",70,5.210
,,"shield",30,5.210
,,"relieve",39,5.190
,,"preservation",27,5.180
,,"clear",39,5.150
,,"population",49,5.150
,,"people",645,5.120
,,"stay",136,5.100
,,"earth",50,5.090
,,"mankind",28,5.030
danger,"X from ...",,18290,0.870
,,"Indians",197,7.870
,,"fire",528,7.540
,,"enemy",305,7.530
,,"radiation",163,7.370
,,"terrorist",116,7.180
,,"predator",160,7.090
,,"weapon",133,7.010
,,"robber",69,6.890
,,"warming",77,6.710
,,"terrorism",82,6.660
,,"traffic",108,6.630
,,"killer",64,6.620
,,"frost",61,6.460
,,"flooding",76,6.410
,,"submarine",54,6.270
,,"lightning",48,6.270
,,"mob",54,6.260
,,"exposure",176,6.250
,,"bandit",45,6.240
,,"flood",69,6.230
,,"foe",51,6.210
,,"explosion",74,6.190
,,"attack",282,6.160
,,"force",158,6.080
,,"beast",48,6.080
,,"Gentile",39,6.050
,,"storm",97,6.040
,,"threat",109,5.940
,,"animal",154,5.940
,,"smoke",51,5.940
,,"virus",116,5.910
,,"wildfire",47,5.900
,,"pollution",63,5.830
,,"chemical",56,5.820
,,"extremist",36,5.810
,,"bomb",43,5.810
,,"Islam",46,5.790
,,"wolf",40,5.770
,,"thief",36,5.740
,,"gang",41,5.730
,,"snake",34,5.710
,,"earthquake",49,5.660
,,"human",64,5.640
,,"criminal",37,5.630
,,"avalanche",28,5.590
,,"raid",37,5.570
,,"native",34,5.570
,,"asteroid",32,5.570
,,"wildlife",30,5.570
,,"poacher",29,5.570
,,"fallout",32,5.560
,,"asbestos",28,5.550
,,"pirate",33,5.510
,,"bear",31,5.500
,,"missile",30,5.500
,,"tsunami",28,5.460
,,"mine",89,5.450
,,"Taliban",29,5.450
,,"vaccine",42,5.420
,,"invasion",42,5.420
,,"Iran",79,5.370
,,"dog",48,5.360
,,"hazard",38,5.360
,,"bullet",30,5.360
,,"erosion",33,5.350
,,"quarter",95,5.340
,,"gas",58,5.330
,,"contamination",36,5.330
,,"creature",35,5.310
,,"strike",33,5.310
,,"Right",26,5.310
,,"volcano",33,5.290
,,"fume",24,5.290
,,"weather",47,5.290
,,"shark",26,5.290
,,"hurricane",30,5.260
,,"proliferation",23,5.260
,,"man",194,5.260
,,"change",109,5.250
,,"assassin",22,5.220
,,"coronavirus",40,5.180
,,"river",80,5.170
,,"flame",29,5.140
,,"trafficker",21,5.120
,,"ice",29,5.100
,,"violence",56,5.080
,,"freezing",26,5.080
,,"accident",59,5.070
,,"landslide",20,5.070
,,"poisoning",30,5.060
,,"rise",29,5.060
,,"drug",45,5.040
,,"monster",27,5.020
,,"Turks",20,5.010
danger,"... is a X",,17219,0.820
,,"danger",115,7.330
,,"fire",220,7.170
,,"Iran",135,6.680
