"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"melanogaster",11,5.150
,,"offspring",19,5.120
,,"adolescence",22,5.010
fitness,"... about X",,5342,0.470
,,"serious",221,6.650
,,"conscious",26,6.330
,,"passionate",395,6.250
,,"doubt",226,6.140
,,"motivate",12,6.100
,,"tip",18,5.180
fitness,"... with X",,4980,0.440
,,"genotype",22,6.900
,,"fitness",14,6.230
,,"offspring",16,6.200
,,"phenotype",11,5.940
,,"clubhouse",14,5.730
,,"hotel",71,5.350
fitness,"X to ...",,2536,0.220
,,"dive",29,6.700
,,"mate",33,5.730
fitness,"... into X",,1929,0.170
,,"big",23,7.360
,,"much",38,7.230
,,"be",728,6.190
,,"fun",10,6.020
,,"exercise",11,5.780
,,"ease",27,5.600
,,"enquiry",17,5.150
,,"spring",10,5.040
fitness,"X as ...",,1591,0.140
,,"lifestyle",59,8.630
,,"lawyer",152,6.570
,,"parent",179,6.270
,,"mate",17,6.170
fitness,"X at ...",,1280,0.110
,,"midlife",12,7.710
,,"Fitness",11,6.720
,,"YMCA",11,5.040
fitness,"verbs with particle ""up"" and X as object",,1272,0.110
,,"build",717,5.760
fitness,"X with ...",,1109,0.100
,,"P90X",11,8.110
,,"workout",31,6.790
,,"fitness",14,6.230
fitness,"... is a X",,934,0.080
,,"Chew",34,10.020
,,"Fitness",23,7.970
,,"fitness",30,7.530
,,"hobby",23,6.270
,,"passion",40,6.110
,,"goal",102,5.120
,,"yoga",20,5.110
fitness,"... at X",,870,0.080
,,"pacesetter",11,8.590
,,"trainer",14,5.750
fitness,"... over X",,800,0.070
,,"sweat",112,11.110
,,"doubt",178,9.330
,,"mark",78,8.880
,,"wait",11,8.570
,,"remain",25,7.040
,,"fear",30,6.750
,,"question",45,6.710
,,"worry",15,6.220
,,"concern",194,5.360
fitness,"X through ...",,770,0.070
,,"swimming",25,9.800
,,"cycling",18,9.230
,,"walking",10,8.520
,,"exercise",108,7.220
,,"nutrition",13,7.010
,,"fun",13,6.970
,,"sport",35,6.760
,,"yoga",10,6.720
,,"strength",11,6.440
,,"workout",10,6.420
,,"dance",17,6.270
,,"activity",67,5.430
,,"movement",20,5.420
,,"diet",12,5.380
,,"participation",27,5.300
,,"competition",11,5.040
,,"play",17,5.040
fitness,"X after ...",,669,0.060
,,"lay-off",26,9.650
,,"injury",214,7.270
,,"layoff",11,7.120
,,"problem",16,6.450
,,"spell",15,6.440
fitness,"... from X",,662,0.060
,,"workout",12,7.500
fitness,"X into ...",,636,0.060
,,"lifestyle",49,6.980
,,"schedule",59,6.600
,,"routine",85,6.210
fitness,"... through X",,624,0.050
,,"lifestyle",62,9.590
,,"wellness",26,8.630
,,"healthy",16,8.180
,,"well-being",11,6.900
,,"health",51,6.660
,,"empowerment",11,6.220
,,"potential",11,6.060
,,"living",10,5.830
,,"life",121,5.670
,,"woman",22,5.640
,,"connection",12,5.070
fitness,"... by X",,520,0.050
,,"employment",92,8.350
fitness,"X during ...",,490,0.040
,,"off-season",11,6.060
,,"evolution",11,5.970
,,"infection",11,5.180
fitness,"... towards X",,372,0.030
,,"dedication",10,7.590
,,"inclination",15,6.880
,,"journey",28,5.930
fitness,"X from ...",,363,0.030
,,"beginner",17,5.250
,,"Field",14,5.200
fitness,"X among ...",,348,0.030
,,"firefighter",11,8.680
fitness,"... like X",,319,0.030
,,"topic",44,5.710
,,"category",10,5.610
fitness,"X by ...",,181,0.020
,,"mating",13,9.250
fitness,"... toward X",,167,0.010
,,"journey",13,5.510
fitness,"X within ...",,157,0.010
,,"moment",12,6.650
,,"population",32,5.560
fitness,"... upon X",,128,0.010
,,"pass",13,6.260
,,"bear",10,5.080
fitness,"X across ...",,83,0.010
,,"environment",18,6.030
fitness,"... behind X",,24,0.000
,,"secret",10,5.750
fitness,"X up ...",,21,0.000
,,"notch",13,5.100
fitness,"... cum X",,11,0.000
,,"seniority",11,11.950
fitness,"usage patterns",,0,0.000
,,"it''s ""%w"" to ...",11,0.000
