"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"identity",4328,5.300
,,"passion",4025,5.300
,,"potential",3711,5.300
,,"precision",3539,5.300
,,"government",7079,5.260
,,"economy",4403,5.250
,,"purpose",4292,5.230
,,"intelligence",3884,5.230
,,"storage",4003,5.220
,,"space",5554,5.210
,,"connection",4054,5.210
,,"value",5646,5.200
,,"accuracy",3496,5.180
,,"voltage",3169,5.170
,,"state",6575,5.130
,,"datum",5803,5.120
,,"role",4075,5.120
,,"cable",3370,5.100
,,"communication",4370,5.100
,,"technology",6419,5.090
,,"sex",3646,5.090
,,"Iran",3441,5.080
,,"ground",3433,5.070
,,"signal",3141,5.060
,,"interest",4417,5.040
,,"depth",3282,5.040
,,"dominance",2795,5.030
,,"domination",2785,5.020
power,"prepositional phrases",,7704093,0.000
,,"""%w"" of ...",1876570,9.420
,,"... of ""%w""",1819253,9.140
,,"""%w"" in ...",473160,2.380
,,"... in ""%w""",465053,2.340
,,"... to ""%w""",439677,2.210
,,"... with ""%w""",359715,1.810
,,"""%w"" to ...",262181,1.320
,,"... for ""%w""",233780,1.170
,,"... on ""%w""",149483,0.750
,,"""%w"" for ...",143150,0.720
,,"... by ""%w""",134813,0.680
,,"""%w"" over ...",117415,0.590
,,"""%w"" from ...",111892,0.560
,,"... from ""%w""",76100,0.380
,,"""%w"" on ...",75146,0.380
,,"... as ""%w""",71515,0.360
,,"""%w"" at ...",69024,0.350
,,"... about ""%w""",59103,0.300
,,"... into ""%w""",58437,0.290
,,"""%w"" with ...",54805,0.280
,,"""%w"" as ...",53722,0.270
,,"""%w"" by ...",36953,0.190
,,"... without ""%w""",36719,0.180
,,"... at ""%w""",33203,0.170
,,"""%w"" through ...",30435,0.150
,,"""%w"" under ...",29018,0.150
,,"... under ""%w""",28518,0.140
,,"""%w"" than ...",26502,0.130
,,"... between ""%w""",25390,0.130
,,"... through ""%w""",22914,0.120
,,"... within ""%w""",21780,0.110
,,"""%w"" into ...",20339,0.100
,,"... over ""%w""",20154,0.100
,,"... against ""%w""",18305,0.090
,,"... than ""%w""",17200,0.090
,,"""%w"" within ...",17185,0.090
,,"""%w"" between ...",15027,0.080
,,"""%w"" during ...",14630,0.070
,,"""%w"" after ...",10389,0.050
,,"... beyond ""%w""",10223,0.050
,,"""%w"" behind ...",10017,0.050
,,"... upon ""%w""",8783,0.040
,,"... like ""%w""",8742,0.040
,,"""%w"" without ...",7632,0.040
,,"... if ""%w""",7322,0.040
,,"""%w"" up ...",7017,0.040
,,"""%w"" against ...",6717,0.030
,,"""%w"" like ...",6251,0.030
,,"""%w"" off ...",5226,0.030
,,"""%w"" among ...",5171,0.030
,,"""%w"" per ...",4837,0.020
,,"""%w"" across ...",4770,0.020
,,"... onto ""%w""",4009,0.020
,,"... after ""%w""",3875,0.020
,,"... among ""%w""",3853,0.020
,,"""%w"" beyond ...",3755,0.020
,,"... because ""%w""",3588,0.020
,,"""%w"" throughout ...",3548,0.020
,,"""%w"" since ...",3225,0.020
,,"""%w"" until ...",2803,0.010
,,"... before ""%w""",2736,0.010
,,"""%w"" around ...",2534,0.010
,,"""%w"" down ...",2480,0.010
,,"""%w"" via ...",2426,0.010
,,"... out ""%w""",2158,0.010
,,"""%w"" upon ...",2036,0.010
,,"... whether ""%w""",2007,0.010
,,"""%w"" if ...",1887,0.010
,,"""%w"" because ...",1862,0.010
,,"... until ""%w""",1645,0.010
,,"... off ""%w""",1641,0.010
,,"... towards ""%w""",1636,0.010
,,"... so ""%w""",1577,0.010
,,"... around ""%w""",1531,0.010
,,"""%w"" while ...",1403,0.010
,,"""%w"" about ...",1358,0.010
,,"... behind ""%w""",1325,0.010
,,"""%w"" before ...",1275,0.010
,,"... toward ""%w""",1129,0.010
,,"""%w"" save ...",1119,0.010
,,"""%w"" outside ...",995,0.000
,,"... up ""%w""",924,0.000
,,"""%w"" so ...",857,0.000
,,"... near ""%w""",855,0.000
,,"""%w"" along ...",839,0.000
,,"... while ""%w""",830,0.000
,,"""%w"" above ...",792,0.000
,,"... above ""%w""",754,0.000
,,"... outside ""%w""",718,0.000
,,"... via ""%w""",695,0.000
,,"""%w"" inside ...",684,0.000
,,"""%w"" towards ...",654,0.000
,,"""%w"" despite ...",565,0.000
,,"""%w"" unto ...",537,0.000
,,"... since ""%w""",455,0.000
,,"""%w"" onto ...",421,0.000
,,"... during ""%w""",382,0.000
,,"... unto ""%w""",311,0.000
,,"... except ""%w""",310,0.000
,,"""%w"" toward ...",282,0.000
power,"adjective predicates of X",,248742,1.250
,,"hungry",6682,9.370
,,"efficient",3788,7.860
,,"inherent",2740,7.730
,,"great",9400,7.050
,,"strong",3929,6.850
,,"cosmic",856,6.790
,,"absolute",931,6.740
,,"equal",2516,6.730
,,"necessary",6590,6.710
,,"sufficient",1805,6.620
,,"unlimited",760,6.490
,,"weak",1365,6.430
,,"accountable",1050,6.400
,,"adjustable",777,6.400
,,"exercisable",604,6.280
,,"proportional",766,6.270
,,"cheap",1403,6.170
,,"enough",1853,6.160
,,"clean",1509,6.150
,,"relative",1352,6.050
,,"comparable",867,6.000
,,"limited",705,6.000
,,"dangerous",967,5.990
,,"latent",482,5.960
,,"available",20908,5.940
,,"capable",2045,5.890
,,"superior",701,5.850
,,"useless",663,5.840
,,"mad",542,5.830
,,"evident",904,5.780
,,"lumbar",415,5.760
,,"low",2574,5.730
,,"expensive",1080,5.710
,,"independent",724,5.670
,,"immense",425,5.650
,,"off",475,5.620
,,"real",907,5.590
,,"limitless",386,5.560
,,"insufficient",475,5.520
,,"much",1080,5.460
,,"intact",592,5.420
,,"due",7369,5.410
,,"adequate",441,5.370
,,"impressive",591,5.370
,,"infinite",348,5.370
,,"game",353,5.360
,,"unavailable",440,5.340
,,"similar",2657,5.340
,,"dependent",833,5.340
,,"broad",444,5.340
,,"equivalent",489,5.310
,,"less",1414,5.300
,,"more",3399,5.290
,,"corrupt",351,5.290
,,"essential",1212,5.280
,,"subject",1108,5.270
,,"potential",377,5.260
,,"dynamic",336,5.190
,,"unknown",667,5.140
,,"akin",398,5.080
,,"manifest",262,5.010
power,"X is a ...",,80538,0.400
,,"power",3025,9.110
